ReservoirName,RecordTime,WaterStorageRate
石門水庫,2019-11-29,86.8
新山水庫,2019-11-29,80.25
翡翠水庫,2019-11-29,85.73
寶山第二水庫,2019-11-29,80.3
永和山水庫,2019-11-29,82.66
明德水庫,2019-11-29,62.39
鯉魚潭水庫,2019-11-29,85.56
德基水庫,2019-11-29,81.39
石岡壩,2019-11-29,15.12
霧社水庫,2019-11-29,21.81
日月潭水庫,2019-11-29,91.56
湖山水庫,2019-11-29,81.59
仁義潭水庫,2019-11-29,77.44
白河水庫,2019-11-29,17.37
烏山頭水庫,2019-11-29,84.01
曾文水庫,2019-11-29,67.35
南化水庫,2019-11-29,83.19
阿公店水庫,2019-11-29,92.33
牡丹水庫,2019-11-29,81.48
石門水庫,2019-02-23,51.52
新山水庫,2019-02-23,91.14
翡翠水庫,2019-02-23,81.7
寶山第二水庫,2019-02-23,26.58
永和山水庫,2019-02-23,33.51
明德水庫,2019-02-23,46.61
鯉魚潭水庫,2019-02-23,39.14
德基水庫,2019-02-23,46.15
石岡壩,2019-02-23,13.27
霧社水庫,2019-02-23,6.63
日月潭水庫,2019-02-23,84.45
湖山水庫,2019-02-23,38.98
仁義潭水庫,2019-02-23,51.01
白河水庫,2019-02-23,1.59
烏山頭水庫,2019-02-23,78.53
曾文水庫,2019-02-23,38.33
南化水庫,2019-02-23,55.42
阿公店水庫,2019-02-23,43.83
牡丹水庫,2019-02-23,59.28
石門水庫,2019-11-15,92.68
新山水庫,2019-11-15,77.19
翡翠水庫,2019-11-15,79.23
寶山第二水庫,2019-11-15,89.47
永和山水庫,2019-11-15,89.88
明德水庫,2019-11-15,66.79
鯉魚潭水庫,2019-11-15,89.58
德基水庫,2019-11-15,86.53
石岡壩,2019-11-15,54.13
霧社水庫,2019-11-15,10.05
日月潭水庫,2019-11-15,98.99
湖山水庫,2019-11-15,89.11
仁義潭水庫,2019-11-15,81.94
白河水庫,2019-11-15,17.37
烏山頭水庫,2019-11-15,88.82
曾文水庫,2019-11-15,74.18
南化水庫,2019-11-15,88.34
阿公店水庫,2019-11-15,92.71
牡丹水庫,2019-11-15,85.03
石門水庫,2019-11-01,97.17
新山水庫,2019-11-01,77.19
翡翠水庫,2019-11-01,78.08
寶山第二水庫,2019-11-01,97.53
永和山水庫,2019-11-01,95.53
明德水庫,2019-11-01,76.76
鯉魚潭水庫,2019-11-01,95.56
德基水庫,2019-11-01,94.46
石岡壩,2019-11-01,79.67
霧社水庫,2019-11-01,39.56
日月潭水庫,2019-11-01,92.12
湖山水庫,2019-11-01,95.05
仁義潭水庫,2019-11-01,86.85
白河水庫,2019-11-01,19.39
烏山頭水庫,2019-11-01,88.36
曾文水庫,2019-11-01,78.53
南化水庫,2019-11-01,92.74
阿公店水庫,2019-11-01,93.66
牡丹水庫,2019-11-01,88.35
石門水庫,2019-04-25,63.2
新山水庫,2019-04-25,89.77
翡翠水庫,2019-04-25,73.93
寶山第二水庫,2019-04-25,100.0
永和山水庫,2019-04-25,69.44
明德水庫,2019-04-25,97.66
鯉魚潭水庫,2019-04-25,68.07
德基水庫,2019-04-25,79.81
石岡壩,2019-04-25,15.32
霧社水庫,2019-04-25,58.94
日月潭水庫,2019-04-25,97.61
湖山水庫,2019-04-25,23.02
仁義潭水庫,2019-04-25,26.57
烏山頭水庫,2019-04-25,77.87
曾文水庫,2019-04-25,17.28
南化水庫,2019-04-25,36.62
阿公店水庫,2019-04-25,18.69
牡丹水庫,2019-04-25,40.09
石門水庫,2019-04-19,58.35
新山水庫,2019-04-19,89.43
翡翠水庫,2019-04-19,74.56
寶山第二水庫,2019-04-19,88.84
永和山水庫,2019-04-19,60.85
明德水庫,2019-04-19,84.36
鯉魚潭水庫,2019-04-19,56.38
德基水庫,2019-04-19,73.26
石岡壩,2019-04-19,26.13
霧社水庫,2019-04-19,45.31
日月潭水庫,2019-04-19,98.36
湖山水庫,2019-04-19,21.77
仁義潭水庫,2019-04-19,27.17
烏山頭水庫,2019-04-19,79.31
曾文水庫,2019-04-19,17.89
南化水庫,2019-04-19,34.96
阿公店水庫,2019-04-19,19.82
牡丹水庫,2019-04-19,42.0
石門水庫,2019-08-28,98.21
新山水庫,2019-08-28,89.53
翡翠水庫,2019-08-28,72.19
寶山第二水庫,2019-08-28,100.0
永和山水庫,2019-08-28,97.08
明德水庫,2019-08-28,99.16
鯉魚潭水庫,2019-08-28,100.0
德基水庫,2019-08-28,93.75
石岡壩,2019-08-28,20.27
霧社水庫,2019-08-28,83.82
日月潭水庫,2019-08-28,94.23
湖山水庫,2019-08-28,99.29
仁義潭水庫,2019-08-28,97.83
白河水庫,2019-08-28,74.53
烏山頭水庫,2019-08-28,91.65
曾文水庫,2019-08-28,94.04
南化水庫,2019-08-28,98.91
阿公店水庫,2019-08-28,0.39
牡丹水庫,2019-08-28,71.77
石門水庫,2019-08-14,97.65
新山水庫,2019-08-14,92.91
翡翠水庫,2019-08-14,74.39
寶山第二水庫,2019-08-14,97.76
永和山水庫,2019-08-14,97.02
明德水庫,2019-08-14,98.67
鯉魚潭水庫,2019-08-14,100.0
德基水庫,2019-08-14,89.95
石岡壩,2019-08-14,36.13
霧社水庫,2019-08-14,96.24
日月潭水庫,2019-08-14,94.65
湖山水庫,2019-08-14,97.02
仁義潭水庫,2019-08-14,95.67
白河水庫,2019-08-14,79.88
烏山頭水庫,2019-08-14,87.31
曾文水庫,2019-08-14,89.67
南化水庫,2019-08-14,100.0
阿公店水庫,2019-08-14,0.02
牡丹水庫,2019-08-14,72.46
石門水庫,2019-06-27,98.82
新山水庫,2019-06-27,96.51
翡翠水庫,2019-06-27,70.93
寶山第二水庫,2019-06-27,100.0
永和山水庫,2019-06-27,96.33
明德水庫,2019-06-27,97.11
鯉魚潭水庫,2019-06-27,100.0
德基水庫,2019-06-27,86.37
石岡壩,2019-06-27,23.64
霧社水庫,2019-06-27,79.5
日月潭水庫,2019-06-27,94.11
湖山水庫,2019-06-27,100.0
仁義潭水庫,2019-06-27,96.57
白河水庫,2019-06-27,54.85
烏山頭水庫,2019-06-27,91.04
曾文水庫,2019-06-27,74.91
南化水庫,2019-06-27,95.09
阿公店水庫,2019-06-27,3.86
牡丹水庫,2019-06-27,49.83
石門水庫,2019-06-26,98.99
新山水庫,2019-06-26,96.41
翡翠水庫,2019-06-26,71.05
寶山第二水庫,2019-06-26,100.0
永和山水庫,2019-06-26,95.93
明德水庫,2019-06-26,96.64
鯉魚潭水庫,2019-06-26,100.0
德基水庫,2019-06-26,87.28
石岡壩,2019-06-26,25.62
霧社水庫,2019-06-26,79.97
日月潭水庫,2019-06-26,92.12
湖山水庫,2019-06-26,100.0
仁義潭水庫,2019-06-26,96.48
白河水庫,2019-06-26,54.12
烏山頭水庫,2019-06-26,90.82
曾文水庫,2019-06-26,74.88
南化水庫,2019-06-26,93.96
阿公店水庫,2019-06-26,3.65
牡丹水庫,2019-06-26,49.36
石門水庫,2019-08-15,97.95
新山水庫,2019-08-15,92.61
翡翠水庫,2019-08-15,73.95
寶山第二水庫,2019-08-15,97.59
永和山水庫,2019-08-15,97.08
明德水庫,2019-08-15,98.79
鯉魚潭水庫,2019-08-15,100.0
德基水庫,2019-08-15,89.82
石岡壩,2019-08-15,21.93
霧社水庫,2019-08-15,95.37
日月潭水庫,2019-08-15,94.29
湖山水庫,2019-08-15,97.65
仁義潭水庫,2019-08-15,96.3
白河水庫,2019-08-15,87.84
烏山頭水庫,2019-08-15,94.86
曾文水庫,2019-08-15,90.17
南化水庫,2019-08-15,100.0
阿公店水庫,2019-08-15,0.03
牡丹水庫,2019-08-15,69.25
石門水庫,2019-08-01,94.66
新山水庫,2019-08-01,96.56
翡翠水庫,2019-08-01,70.98
寶山第二水庫,2019-08-01,100.0
永和山水庫,2019-08-01,96.91
明德水庫,2019-08-01,85.5
鯉魚潭水庫,2019-08-01,100.0
德基水庫,2019-08-01,75.91
石岡壩,2019-08-01,59.57
霧社水庫,2019-08-01,49.7
日月潭水庫,2019-08-01,94.98
湖山水庫,2019-08-01,100.0
仁義潭水庫,2019-08-01,96.3
白河水庫,2019-08-01,53.98
烏山頭水庫,2019-08-01,80.3
曾文水庫,2019-08-01,85.49
南化水庫,2019-08-01,97.6
阿公店水庫,2019-08-01,0.05
牡丹水庫,2019-08-01,71.47
石門水庫,2019-08-29,98.43
新山水庫,2019-08-29,89.28
翡翠水庫,2019-08-29,71.69
寶山第二水庫,2019-08-29,100.0
永和山水庫,2019-08-29,97.02
明德水庫,2019-08-29,98.79
鯉魚潭水庫,2019-08-29,100.0
德基水庫,2019-08-29,94.21
石岡壩,2019-08-29,20.49
霧社水庫,2019-08-29,84.97
日月潭水庫,2019-08-29,93.61
湖山水庫,2019-08-29,99.85
仁義潭水庫,2019-08-29,97.65
白河水庫,2019-08-29,73.66
烏山頭水庫,2019-08-29,91.29
曾文水庫,2019-08-29,94.77
南化水庫,2019-08-29,98.04
阿公店水庫,2019-08-29,0.58
牡丹水庫,2019-08-29,72.03
石門水庫,2019-04-18,57.73
新山水庫,2019-04-18,89.58
翡翠水庫,2019-04-18,74.72
寶山第二水庫,2019-04-18,86.54
永和山水庫,2019-04-18,59.49
明德水庫,2019-04-18,83.13
鯉魚潭水庫,2019-04-18,55.29
德基水庫,2019-04-18,72.7
石岡壩,2019-04-18,22.9
霧社水庫,2019-04-18,45.19
日月潭水庫,2019-04-18,98.11
湖山水庫,2019-04-18,22.17
仁義潭水庫,2019-04-18,27.64
烏山頭水庫,2019-04-18,79.85
曾文水庫,2019-04-18,17.66
南化水庫,2019-04-18,35.23
阿公店水庫,2019-04-18,18.81
牡丹水庫,2019-04-18,42.34
石門水庫,2019-04-30,63.43
新山水庫,2019-04-30,91.73
翡翠水庫,2019-04-30,73.27
寶山第二水庫,2019-04-30,100.0
永和山水庫,2019-04-30,73.46
明德水庫,2019-04-30,95.43
鯉魚潭水庫,2019-04-30,72.64
德基水庫,2019-04-30,77.88
石岡壩,2019-04-30,16.94
霧社水庫,2019-04-30,53.56
日月潭水庫,2019-04-30,96.61
湖山水庫,2019-04-30,22.46
仁義潭水庫,2019-04-30,28.01
烏山頭水庫,2019-04-30,74.72
曾文水庫,2019-04-30,14.88
南化水庫,2019-04-30,34.73
阿公店水庫,2019-04-30,15.79
牡丹水庫,2019-04-30,38.46
石門水庫,2019-04-24,63.07
新山水庫,2019-04-24,89.48
翡翠水庫,2019-04-24,74.14
寶山第二水庫,2019-04-24,100.0
永和山水庫,2019-04-24,68.07
明德水庫,2019-04-24,97.89
鯉魚潭水庫,2019-04-24,66.57
德基水庫,2019-04-24,80.37
石岡壩,2019-04-24,19.36
霧社水庫,2019-04-24,58.28
日月潭水庫,2019-04-24,98.18
湖山水庫,2019-04-24,23.04
仁義潭水庫,2019-04-24,26.99
